Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
DRR898372_1	(15.0, 2.0)	(16.0, 83.0)	(17.0, 761.0)	(18.0, 2488.0)	(19.0, 2507.0)	(20.0, 1970.0)	(21.0, 2021.0)	(22.0, 2223.0)	(23.0, 2452.0)	(24.0, 2715.0)	(25.0, 3170.0)	(26.0, 3749.0)	(27.0, 4552.0)	(28.0, 6101.0)	(29.0, 9213.0)	(30.0, 13734.0)	(31.0, 20745.0)	(32.0, 35419.0)	(33.0, 58218.0)	(34.0, 97172.0)	(35.0, 181308.0)	(36.0, 1084198.0)	(37.0, 756564.0)													
DRR898372_2	(13.0, 1.0)	(14.0, 78.0)	(15.0, 845.0)	(16.0, 2624.0)	(17.0, 3902.0)	(18.0, 4372.0)	(19.0, 2865.0)	(20.0, 2521.0)	(21.0, 2530.0)	(22.0, 2617.0)	(23.0, 2921.0)	(24.0, 3139.0)	(25.0, 3488.0)	(26.0, 4054.0)	(27.0, 5029.0)	(28.0, 6356.0)	(29.0, 8375.0)	(30.0, 11518.0)	(31.0, 17422.0)	(32.0, 29607.0)	(33.0, 51820.0)	(34.0, 97824.0)	(35.0, 213798.0)	(36.0, 1183395.0)	(37.0, 630264.0)											
DRR898376_1	(16.0, 2.0)	(17.0, 10.0)	(18.0, 106.0)	(19.0, 421.0)	(20.0, 781.0)	(21.0, 996.0)	(22.0, 1075.0)	(23.0, 1250.0)	(24.0, 1435.0)	(25.0, 1766.0)	(26.0, 2028.0)	(27.0, 2481.0)	(28.0, 3279.0)	(29.0, 4451.0)	(30.0, 6710.0)	(31.0, 14515.0)	(32.0, 37218.0)	(33.0, 50228.0)	(34.0, 46523.0)	(35.0, 44699.0)	(36.0, 48871.0)	(37.0, 67941.0)	(38.0, 161059.0)	(39.0, 1027634.0)	(40.0, 192047.0)											
DRR898376_2	(15.0, 13.0)	(16.0, 144.0)	(17.0, 531.0)	(18.0, 963.0)	(19.0, 1233.0)	(20.0, 1449.0)	(21.0, 1457.0)	(22.0, 1364.0)	(23.0, 1287.0)	(24.0, 1474.0)	(25.0, 1736.0)	(26.0, 2154.0)	(27.0, 2563.0)	(28.0, 3436.0)	(29.0, 4776.0)	(30.0, 7350.0)	(31.0, 10935.0)	(32.0, 16563.0)	(33.0, 24016.0)	(34.0, 33982.0)	(35.0, 46158.0)	(36.0, 72515.0)	(37.0, 108439.0)	(38.0, 222455.0)	(39.0, 999814.0)	(40.0, 150719.0)										
DRR898377_1	(17.0, 25.0)	(18.0, 131.0)	(19.0, 433.0)	(20.0, 905.0)	(21.0, 1172.0)	(22.0, 1235.0)	(23.0, 1396.0)	(24.0, 1611.0)	(25.0, 1916.0)	(26.0, 2283.0)	(27.0, 2707.0)	(28.0, 3529.0)	(29.0, 4537.0)	(30.0, 6362.0)	(31.0, 12439.0)	(32.0, 28286.0)	(33.0, 33553.0)	(34.0, 31443.0)	(35.0, 34549.0)	(36.0, 44030.0)	(37.0, 68765.0)	(38.0, 182282.0)	(39.0, 1178129.0)	(40.0, 204013.0)												
DRR898377_2	(14.0, 2.0)	(15.0, 17.0)	(16.0, 170.0)	(17.0, 663.0)	(18.0, 1220.0)	(19.0, 1593.0)	(20.0, 1850.0)	(21.0, 1792.0)	(22.0, 1631.0)	(23.0, 1598.0)	(24.0, 1828.0)	(25.0, 2001.0)	(26.0, 2282.0)	(27.0, 2624.0)	(28.0, 3356.0)	(29.0, 4146.0)	(30.0, 5460.0)	(31.0, 7425.0)	(32.0, 11161.0)	(33.0, 16052.0)	(34.0, 23481.0)	(35.0, 34453.0)	(36.0, 57762.0)	(37.0, 100442.0)	(38.0, 251617.0)	(39.0, 1156322.0)	(40.0, 154783.0)									
DRR898379_1	(16.0, 4.0)	(17.0, 59.0)	(18.0, 417.0)	(19.0, 1542.0)	(20.0, 2924.0)	(21.0, 3461.0)	(22.0, 3539.0)	(23.0, 3708.0)	(24.0, 4244.0)	(25.0, 4852.0)	(26.0, 5509.0)	(27.0, 6168.0)	(28.0, 7539.0)	(29.0, 8866.0)	(30.0, 10789.0)	(31.0, 13123.0)	(32.0, 18609.0)	(33.0, 25825.0)	(34.0, 32499.0)	(35.0, 44836.0)	(36.0, 71390.0)	(37.0, 118768.0)	(38.0, 290636.0)	(39.0, 1982475.0)	(40.0, 1092407.0)											
DRR898379_2	(15.0, 50.0)	(16.0, 491.0)	(17.0, 1952.0)	(18.0, 3774.0)	(19.0, 4913.0)	(20.0, 5653.0)	(21.0, 5211.0)	(22.0, 4847.0)	(23.0, 4611.0)	(24.0, 5066.0)	(25.0, 5497.0)	(26.0, 6046.0)	(27.0, 6425.0)	(28.0, 7514.0)	(29.0, 8762.0)	(30.0, 10247.0)	(31.0, 12110.0)	(32.0, 15559.0)	(33.0, 20174.0)	(34.0, 27768.0)	(35.0, 40349.0)	(36.0, 68861.0)	(37.0, 124961.0)	(38.0, 317390.0)	(39.0, 2063911.0)	(40.0, 982047.0)										
DRR898407_1	(17.0, 32.0)	(18.0, 313.0)	(19.0, 1126.0)	(20.0, 2063.0)	(21.0, 2479.0)	(22.0, 2739.0)	(23.0, 2922.0)	(24.0, 3461.0)	(25.0, 3832.0)	(26.0, 4463.0)	(27.0, 5133.0)	(28.0, 6491.0)	(29.0, 8410.0)	(30.0, 11051.0)	(31.0, 15991.0)	(32.0, 33670.0)	(33.0, 60470.0)	(34.0, 71520.0)	(35.0, 74891.0)	(36.0, 80838.0)	(37.0, 110077.0)	(38.0, 257661.0)	(39.0, 1466659.0)	(40.0, 240911.0)												
DRR898407_2	(14.0, 1.0)	(15.0, 28.0)	(16.0, 201.0)	(17.0, 846.0)	(18.0, 1706.0)	(19.0, 2557.0)	(20.0, 3063.0)	(21.0, 2956.0)	(22.0, 2829.0)	(23.0, 2884.0)	(24.0, 3285.0)	(25.0, 3729.0)	(26.0, 4313.0)	(27.0, 5134.0)	(28.0, 6383.0)	(29.0, 8189.0)	(30.0, 11035.0)	(31.0, 14792.0)	(32.0, 21794.0)	(33.0, 31030.0)	(34.0, 44647.0)	(35.0, 63090.0)	(36.0, 104110.0)	(37.0, 170060.0)	(38.0, 366216.0)	(39.0, 1416460.0)	(40.0, 175865.0)									
