Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898376_2	(1.0, 71.97427579394883)	(2.0, 18.608261767030562)	(3.0, 4.957257983699787)	(4.0, 1.6264867439403525)	(5.0, 0.7049458391594735)	(6.0, 0.4027839188262846)	(7.0, 0.28604059459892)	(8.0, 0.19700835987250523)	(9.0, 0.14880963659834706)	('>10', 0.7518992621050101)	('>50', 0.0044814343628944864)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.3377486658570196)	('>10k+', 0.0)
DRR898377_1	(1.0, 68.69891773907823)	(2.0, 20.49454134238546)	(3.0, 6.067053139378508)	(4.0, 1.9491710838450347)	(5.0, 0.7397826675406486)	(6.0, 0.35371984212056184)	(7.0, 0.24126473223434397)	(8.0, 0.15432008219146728)	(9.0, 0.12034519324933673)	('>10', 0.44422299883466293)	('>50', 0.04227444787379499)	('>100', 0.0766178752819041)	('>500', 0.12654460894149636)	('>1k', 0.49122424704455625)	('>5k', 0.0)	('>10k+', 0.0)
DRR898377_2	(1.0, 68.37760373920635)	(2.0, 20.725157902495134)	(3.0, 6.0663247930410416)	(4.0, 1.8778568041586756)	(5.0, 0.6894719893613441)	(6.0, 0.3369822424976522)	(7.0, 0.2126606950526144)	(8.0, 0.13833635375407088)	(9.0, 0.11141955702303791)	('>10', 0.4464045213854255)	('>50', 0.015700614098201247)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 1.0020807879264202)
DRR898379_1	(1.0, 57.54934416289491)	(2.0, 25.238572990206183)	(3.0, 10.095453482475332)	(4.0, 3.8957673872197214)	(5.0, 1.5070101825108184)	(6.0, 0.6609862949874418)	(7.0, 0.2965164580134689)	(8.0, 0.1640925220836891)	(9.0, 0.09655296356570613)	('>10', 0.26277640478711495)	('>50', 0.00692811317317575)	('>100', 0.010902850816690261)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.21509618726572566)	('>10k+', 0.0)
DRR898379_2	(1.0, 57.9647361443262)	(2.0, 24.635316765542914)	(3.0, 9.994608412186649)	(4.0, 3.9071175380649117)	(5.0, 1.4811820660701092)	(6.0, 0.562718955365236)	(7.0, 0.2479274424481263)	(8.0, 0.12305264521364624)	(9.0, 0.07844006657454873)	('>10', 0.26931331824954746)	('>50', 0.009913055008120052)	('>100', 0.008576115919897724)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.7170974750300876)
DRR898407_1	(1.0, 70.66456535392436)	(2.0, 20.094901050798086)	(3.0, 5.751989029473046)	(4.0, 1.68300713250275)	(5.0, 0.5489905453719213)	(6.0, 0.2777762155722362)	(7.0, 0.15881326166909998)	(8.0, 0.12887972907813594)	(9.0, 0.0740511823389945)	('>10', 0.3129280442122994)	('>50', 0.016231404476425137)	('>100', 0.020455555785465603)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.2674114947971467)	('>10k+', 0.0)
DRR898407_2	(1.0, 69.79355255733516)	(2.0, 20.58211104038848)	(3.0, 5.824270190537416)	(4.0, 1.779567135604715)	(5.0, 0.6178506727319354)	(6.0, 0.2486275734021366)	(7.0, 0.15176414775430117)	(8.0, 0.13093636596129687)	(9.0, 0.09386225705722209)	('>10', 0.2858216981576443)	('>50', 0.002698741465610725)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.4889376196040065)
DRR898409_1	(1.0, 60.7982893205496)	(2.0, 21.523354199979295)	(3.0, 8.443873657115844)	(4.0, 3.7205163922901554)	(5.0, 1.8384785087908695)	(6.0, 1.1174982626997234)	(7.0, 0.6211914115767544)	(8.0, 0.44591025434783627)	(9.0, 0.36067158153257906)	('>10', 1.091432062478776)	('>50', 0.007170692991684583)	('>100', 0.03161365564686675)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898409_2	(1.0, 60.42863023896891)	(2.0, 21.77157536876674)	(3.0, 8.367687813942757)	(4.0, 3.7427376343480403)	(5.0, 1.845217516983725)	(6.0, 1.0625711151008417)	(7.0, 0.6986668164873772)	(8.0, 0.45838039102030304)	(9.0, 0.2977118893879771)	('>10', 1.072207577289532)	('>50', 0.0021533315430628157)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.2524603061607468)	('>10k+', 0.0)
DRR898410_1	(1.0, 52.24026992215295)	(2.0, 24.52299686847896)	(3.0, 11.36932290368249)	(4.0, 5.274997941869059)	(5.0, 2.614743350057349)	(6.0, 1.2745789370829277)	(7.0, 0.8003995431896875)	(8.0, 0.5265173130398795)	(9.0, 0.33075217076066343)	('>10', 0.9726175076059265)	('>50', 0.004638400155216189)	('>100', 0.054782962335624366)	('>500', 0.013382179589271962)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898410_2	(1.0, 53.390111799843474)	(2.0, 23.89945670212759)	(3.0, 10.792846245298916)	(4.0, 5.018453285584754)	(5.0, 2.4041670034086717)	(6.0, 1.278664046384154)	(7.0, 0.6572859005946156)	(8.0, 0.40812895020242573)	(9.0, 0.3122631200252856)	('>10', 1.0493421875841418)	('>50', 0.007258775521006478)	('>100', 0.017637116998802882)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.7643848664261594)
DRR898411_1	(1.0, 71.85329943835367)	(2.0, 19.690556930593868)	(3.0, 5.508699946517277)	(4.0, 1.6793062908876362)	(5.0, 0.6017210645290095)	(6.0, 0.2782554217147619)	(7.0, 0.11745519695716643)	(8.0, 0.06723273632254573)	(9.0, 0.035242340846717256)	('>10', 0.11684637196391284)	('>50', 0.0101525355014416)	('>100', 0.04123172581197711)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898411_2	(1.0, 74.26562234962202)	(2.0, 18.17081357382582)	(3.0, 4.994844681664619)	(4.0, 1.519517332161592)	(5.0, 0.48576034725894035)	(6.0, 0.22225294973415066)	(7.0, 0.11601346524163646)	(8.0, 0.058747267308829225)	(9.0, 0.026383569116921145)	('>10', 0.08580564011034057)	('>50', 0.0)	('>100', 0.05423882395512097)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898421_1	(1.0, 65.85804843283492)	(2.0, 20.94863603513527)	(3.0, 7.305096906972916)	(4.0, 2.7010743792954206)	(5.0, 1.2609334445245322)	(6.0, 0.6759721895916755)	(7.0, 0.3953690830701158)	(8.0, 0.24764408830527646)	(9.0, 0.13917853321472254)	('>10', 0.4097575045545401)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0582894025006012)	('>5k', 0.0)	('>10k+', 0.0)
DRR898421_2	(1.0, 66.02003221501221)	(2.0, 20.818490573639835)	(3.0, 7.153181969845761)	(4.0, 2.70925774562983)	(5.0, 1.233352587074642)	(6.0, 0.657390105206811)	(7.0, 0.4005537972660607)	(8.0, 0.24617988101317345)	(9.0, 0.15445558806396728)	('>10', 0.4075028642298241)	('>50', 0.002990467389972234)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.1966122056278868)	('>5k', 0.0)	('>10k+', 0.0)
DRR898438_1	(1.0, 60.26779154786565)	(2.0, 23.035038838485008)	(3.0, 9.181531199455662)	(4.0, 3.720941370302634)	(5.0, 1.593365253268948)	(6.0, 0.7205298223380358)	(7.0, 0.43014942792849636)	(8.0, 0.2544347336054624)	(9.0, 0.17716644386306066)	('>10', 0.6137497238160804)	('>50', 0.0)	('>100', 0.005301639070981602)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898438_2	(1.0, 60.35558807733501)	(2.0, 22.790895955591164)	(3.0, 8.797158407575594)	(4.0, 3.6306439146854363)	(5.0, 1.4567522994302062)	(6.0, 0.7008811102579401)	(7.0, 0.381938216801648)	(8.0, 0.22953278747372105)	(9.0, 0.17354701016132346)	('>10', 0.6557716948886708)	('>50', 0.004423815653554874)	('>100', 0.011139763388724473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.8117269467570128)
