Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
DRR898376_2_paired	(18.0, 2.0)	(19.0, 32.0)	(20.0, 134.0)	(21.0, 347.0)	(22.0, 614.0)	(23.0, 783.0)	(24.0, 839.0)	(25.0, 911.0)	(26.0, 1017.0)	(27.0, 1098.0)	(28.0, 1386.0)	(29.0, 1655.0)	(30.0, 2102.0)	(31.0, 2657.0)	(32.0, 3634.0)	(33.0, 4832.0)	(34.0, 7113.0)	(35.0, 11245.0)	(36.0, 20254.0)	(37.0, 40420.0)	(38.0, 138706.0)	(39.0, 888966.0)	(40.0, 142117.0)			
DRR898377_1_paired	(20.0, 15.0)	(21.0, 84.0)	(22.0, 224.0)	(23.0, 399.0)	(24.0, 578.0)	(25.0, 837.0)	(26.0, 1056.0)	(27.0, 1263.0)	(28.0, 1883.0)	(29.0, 2357.0)	(30.0, 3043.0)	(31.0, 3691.0)	(32.0, 4930.0)	(33.0, 6515.0)	(34.0, 9597.0)	(35.0, 14894.0)	(36.0, 25246.0)	(37.0, 47148.0)	(38.0, 150303.0)	(39.0, 1064706.0)	(40.0, 186477.0)					
DRR898377_2_paired	(18.0, 3.0)	(19.0, 27.0)	(20.0, 174.0)	(21.0, 471.0)	(22.0, 811.0)	(23.0, 1035.0)	(24.0, 1128.0)	(25.0, 1238.0)	(26.0, 1316.0)	(27.0, 1493.0)	(28.0, 1877.0)	(29.0, 2316.0)	(30.0, 2903.0)	(31.0, 3541.0)	(32.0, 4876.0)	(33.0, 6597.0)	(34.0, 9472.0)	(35.0, 15221.0)	(36.0, 26939.0)	(37.0, 53771.0)	(38.0, 182417.0)	(39.0, 1059778.0)	(40.0, 147842.0)			
DRR898379_1_paired	(19.0, 1.0)	(20.0, 50.0)	(21.0, 313.0)	(22.0, 810.0)	(23.0, 1431.0)	(24.0, 2182.0)	(25.0, 2841.0)	(26.0, 3592.0)	(27.0, 4513.0)	(28.0, 6114.0)	(29.0, 7748.0)	(30.0, 9984.0)	(31.0, 12101.0)	(32.0, 15868.0)	(33.0, 20382.0)	(34.0, 28631.0)	(35.0, 42101.0)	(36.0, 68653.0)	(37.0, 114960.0)	(38.0, 283455.0)	(39.0, 1964216.0)	(40.0, 1094792.0)				
DRR898379_2_paired	(18.0, 9.0)	(19.0, 94.0)	(20.0, 583.0)	(21.0, 1553.0)	(22.0, 2663.0)	(23.0, 3307.0)	(24.0, 3838.0)	(25.0, 4034.0)	(26.0, 4566.0)	(27.0, 4833.0)	(28.0, 5982.0)	(29.0, 7363.0)	(30.0, 8980.0)	(31.0, 10793.0)	(32.0, 13871.0)	(33.0, 18071.0)	(34.0, 25275.0)	(35.0, 37693.0)	(36.0, 64505.0)	(37.0, 117749.0)	(38.0, 308055.0)	(39.0, 2054379.0)	(40.0, 986542.0)			
DRR898407_1_paired	(20.0, 28.0)	(21.0, 165.0)	(22.0, 446.0)	(23.0, 827.0)	(24.0, 1233.0)	(25.0, 1658.0)	(26.0, 2017.0)	(27.0, 2386.0)	(28.0, 3220.0)	(29.0, 4217.0)	(30.0, 5349.0)	(31.0, 6408.0)	(32.0, 8340.0)	(33.0, 10833.0)	(34.0, 15206.0)	(35.0, 22654.0)	(36.0, 37201.0)	(37.0, 66147.0)	(38.0, 196902.0)	(39.0, 1262433.0)	(40.0, 208602.0)					
DRR898407_2_paired	(18.0, 5.0)	(19.0, 38.0)	(20.0, 261.0)	(21.0, 743.0)	(22.0, 1234.0)	(23.0, 1574.0)	(24.0, 1879.0)	(25.0, 1948.0)	(26.0, 2221.0)	(27.0, 2425.0)	(28.0, 3081.0)	(29.0, 3687.0)	(30.0, 4653.0)	(31.0, 5626.0)	(32.0, 7521.0)	(33.0, 9898.0)	(34.0, 14335.0)	(35.0, 22211.0)	(36.0, 38143.0)	(37.0, 73574.0)	(38.0, 236203.0)	(39.0, 1259143.0)	(40.0, 165869.0)			
DRR898409_1_paired	(20.0, 21.0)	(21.0, 187.0)	(22.0, 457.0)	(23.0, 788.0)	(24.0, 1181.0)	(25.0, 1506.0)	(26.0, 1890.0)	(27.0, 2492.0)	(28.0, 3266.0)	(29.0, 4207.0)	(30.0, 5197.0)	(31.0, 6511.0)	(32.0, 8092.0)	(33.0, 10441.0)	(34.0, 14142.0)	(35.0, 20218.0)	(36.0, 32421.0)	(37.0, 52875.0)	(38.0, 121622.0)	(39.0, 1042111.0)	(40.0, 832091.0)					
DRR898409_2_paired	(18.0, 7.0)	(19.0, 46.0)	(20.0, 234.0)	(21.0, 684.0)	(22.0, 1167.0)	(23.0, 1434.0)	(24.0, 1674.0)	(25.0, 1803.0)	(26.0, 2065.0)	(27.0, 2178.0)	(28.0, 2720.0)	(29.0, 3372.0)	(30.0, 4226.0)	(31.0, 5080.0)	(32.0, 6476.0)	(33.0, 8328.0)	(34.0, 11591.0)	(35.0, 16998.0)	(36.0, 27852.0)	(37.0, 49014.0)	(38.0, 124769.0)	(39.0, 1134800.0)	(40.0, 755198.0)			
DRR898410_1_paired	(19.0, 2.0)	(20.0, 39.0)	(21.0, 330.0)	(22.0, 854.0)	(23.0, 1405.0)	(24.0, 2149.0)	(25.0, 2802.0)	(26.0, 3760.0)	(27.0, 4705.0)	(28.0, 6236.0)	(29.0, 7720.0)	(30.0, 10003.0)	(31.0, 11968.0)	(32.0, 15610.0)	(33.0, 20606.0)	(34.0, 28517.0)	(35.0, 41556.0)	(36.0, 68215.0)	(37.0, 115888.0)	(38.0, 284697.0)	(39.0, 2236477.0)	(40.0, 1341232.0)				
DRR898410_2_paired	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 12.0)	(19.0, 152.0)	(20.0, 815.0)	(21.0, 2269.0)	(22.0, 3759.0)	(23.0, 4483.0)	(24.0, 5075.0)	(25.0, 5295.0)	(26.0, 6116.0)	(27.0, 6469.0)	(28.0, 7960.0)	(29.0, 9288.0)	(30.0, 11280.0)	(31.0, 13758.0)	(32.0, 17472.0)	(33.0, 22883.0)	(34.0, 31010.0)	(35.0, 45210.0)	(36.0, 75430.0)	(37.0, 134441.0)	(38.0, 343432.0)	(39.0, 2352501.0)	(40.0, 1105660.0)
DRR898411_1_paired	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 10.0)	(25.0, 65.0)	(26.0, 255.0)	(27.0, 730.0)	(28.0, 1622.0)	(29.0, 3299.0)	(30.0, 5285.0)	(31.0, 7699.0)	(32.0, 10370.0)	(33.0, 13598.0)	(34.0, 17249.0)	(35.0, 21936.0)	(36.0, 28273.0)	(37.0, 39127.0)	(38.0, 62664.0)	(39.0, 132676.0)	(40.0, 693250.0)					
DRR898411_2_paired	(19.0, 2.0)	(20.0, 6.0)	(21.0, 34.0)	(22.0, 159.0)	(23.0, 415.0)	(24.0, 924.0)	(25.0, 1919.0)	(26.0, 3188.0)	(27.0, 5152.0)	(28.0, 7377.0)	(29.0, 9924.0)	(30.0, 13222.0)	(31.0, 16450.0)	(32.0, 19998.0)	(33.0, 23880.0)	(34.0, 29009.0)	(35.0, 35811.0)	(36.0, 44343.0)	(37.0, 59345.0)	(38.0, 88121.0)	(39.0, 166438.0)	(40.0, 512395.0)				
DRR898421_1_paired	(19.0, 2.0)	(20.0, 24.0)	(21.0, 171.0)	(22.0, 469.0)	(23.0, 799.0)	(24.0, 1157.0)	(25.0, 1588.0)	(26.0, 2100.0)	(27.0, 2533.0)	(28.0, 3489.0)	(29.0, 4473.0)	(30.0, 5455.0)	(31.0, 6731.0)	(32.0, 8338.0)	(33.0, 10433.0)	(34.0, 14202.0)	(35.0, 20223.0)	(36.0, 31296.0)	(37.0, 49080.0)	(38.0, 108761.0)	(39.0, 854384.0)	(40.0, 763378.0)				
DRR898421_2_paired	(18.0, 4.0)	(19.0, 22.0)	(20.0, 128.0)	(21.0, 486.0)	(22.0, 813.0)	(23.0, 1004.0)	(24.0, 1345.0)	(25.0, 1400.0)	(26.0, 1568.0)	(27.0, 1742.0)	(28.0, 2164.0)	(29.0, 2766.0)	(30.0, 3390.0)	(31.0, 4172.0)	(32.0, 5386.0)	(33.0, 6938.0)	(34.0, 9649.0)	(35.0, 14311.0)	(36.0, 24163.0)	(37.0, 44948.0)	(38.0, 102000.0)	(39.0, 963046.0)	(40.0, 697641.0)			
DRR898438_1_paired	(19.0, 4.0)	(20.0, 18.0)	(21.0, 132.0)	(22.0, 323.0)	(23.0, 521.0)	(24.0, 703.0)	(25.0, 948.0)	(26.0, 1242.0)	(27.0, 1536.0)	(28.0, 2029.0)	(29.0, 2595.0)	(30.0, 3290.0)	(31.0, 4049.0)	(32.0, 5287.0)	(33.0, 6903.0)	(34.0, 9628.0)	(35.0, 14397.0)	(36.0, 23912.0)	(37.0, 40294.0)	(38.0, 100222.0)	(39.0, 966366.0)	(40.0, 1257367.0)				
DRR898438_2_paired	(18.0, 6.0)	(19.0, 110.0)	(20.0, 536.0)	(21.0, 1312.0)	(22.0, 2008.0)	(23.0, 2334.0)	(24.0, 2445.0)	(25.0, 2429.0)	(26.0, 2524.0)	(27.0, 2762.0)	(28.0, 3298.0)	(29.0, 3835.0)	(30.0, 4626.0)	(31.0, 5488.0)	(32.0, 6927.0)	(33.0, 8924.0)	(34.0, 12146.0)	(35.0, 17481.0)	(36.0, 28881.0)	(37.0, 51498.0)	(38.0, 131782.0)	(39.0, 1139348.0)	(40.0, 1011066.0)			
