Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR898376_1_paired	(1, 0.0)	(2, 0.23432877160734744)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001731105767414924)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 9.44729096569736e-05)	(45, 0.0)	(50, 0.017824761319984252)	(55, 0.015736489797771914)	(60, 6.310054962156235e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0010435398008451723)	(90, 0.0003163774528546184)	(95, 0.0)	(100, 9.500309076721963e-05)	(105, 0.0)	(110, 0.0018702618382423215)	(115, 0.000317153886395795)	(120, 0.0002538438704717228)	(125, 1.587139346390623e-05)	(130, 0.0006350984624901322)	(135, 0.0013660130241399916)	(140, 0.0)	(145, 0.03258933212853487)	(150, 0.0)
DRR898376_2_paired	(1, 0.0)	(2, 0.002360598773747624)	(3, 0.0018884790189980989)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 7.868662579158745e-05)	(10, 0.0)	(15, 0.0003776958037996198)	(20, 0.0011016127610822242)	(25, 0.0003147465031663498)	(30, 4.7211975474952474e-05)	(35, 0.00022036392472557216)	(40, 0.0010395822517477583)	(45, 0.0)	(50, 3.1539706992968066e-05)	(55, 0.0)	(60, 0.00045780426026330057)	(65, 0.00031587956586144226)	(70, 0.0005372590748588352)	(75, 0.0)	(80, 0.0)	(85, 0.00042723317152272545)	(90, 0.0004907436253986105)	(95, 1.5837472060719603e-05)	(100, 0.00020597844514794005)	(105, 0.0016009886183975467)	(110, 0.00041232489869890885)	(115, 0.0007932906648727721)	(120, 0.00011110684319745178)	(125, 1.5878250655017534e-05)	(130, 1.588386228183118e-05)	(135, 0.0)	(140, 0.017675466357324813)	(145, 0.0013038672065312934)	(150, 0.0)
DRR898377_1_paired	(1, 0.0)	(2, 0.23910896996287812)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00019668958318854794)	(20, 0.0)	(25, 0.0)	(30, 1.311263887923653e-05)	(35, 0.0)	(40, 9.183465301916262e-05)	(45, 0.0)	(50, 0.018250662210178827)	(55, 0.015854390753330505)	(60, 2.628017983001454e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0012901494848814887)	(90, 0.0003424184408661132)	(95, 0.0)	(100, 0.00014498633306102263)	(105, 1.3186234731329147e-05)	(110, 0.0020843122785253305)	(115, 0.00044872202647090417)	(120, 0.0003168794556222205)	(125, 1.3208605353553419e-05)	(130, 0.0008853354489767306)	(135, 0.0018506680118379301)	(140, 1.3224511473321664e-05)	(145, 0.03339491899747501)	(150, 0.0)
DRR898377_2_paired	(1, 0.0)	(2, 0.0019013326374892967)	(3, 0.001507953471112201)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00036715388861862286)	(20, 0.0014161649989575453)	(25, 0.0003540412497393863)	(30, 6.556319439618265e-05)	(35, 0.0003147581437767987)	(40, 0.001299245676333492)	(45, 0.0)	(50, 5.255306052601672e-05)	(55, 0.0)	(60, 0.0005391791930486388)	(65, 0.00032891971319779824)	(70, 0.0006844314355672957)	(75, 0.0)	(80, 0.0)	(85, 0.0004348540530967341)	(90, 0.0005272978817784966)	(95, 2.6375015264540087e-05)	(100, 0.00027705037395863694)	(105, 0.0019533178158950447)	(110, 0.0004093084667436871)	(115, 0.0010831399752357217)	(120, 0.00018500035612568555)	(125, 2.643877500166234e-05)	(130, 9.2571274260782e-05)	(135, 0.0)	(140, 0.018038885908877287)	(145, 0.0015491001184730585)	(150, 0.0)
DRR898379_1_paired	(1, 0.0)	(2, 0.10193397739540777)	(3, 5.4277943235041406e-05)	(4, 0.033516629947638064)	(5, 0.0)	(6, 0.00018997280132264493)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 5.42839568813845e-05)	(40, 0.0)	(45, 0.0)	(50, 0.00019569007823037028)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 5.454160886619667e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0006777486218337047)	(120, 0.0)	(125, 0.00010394643016774874)	(130, 0.004887968099576613)	(135, 0.0007010394717536136)	(140, 0.0007946080636826303)	(145, 0.004326624743555632)	(150, 0.0)
DRR898379_2_paired	(1, 0.08915152176355551)	(2, 0.010584198930833073)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 1.0857919508613995e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0004804150349160734)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.004151849684637439)	(130, 0.005150991450778934)	(135, 7.675146991399943e-05)	(140, 0.0)	(145, 0.002123770024352563)	(150, 0.0)
DRR898407_1_paired	(1, 0.0)	(2, 0.24096684106639543)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00015083996310885474)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0001293868475897333)	(45, 0.0)	(50, 0.01768233586463492)	(55, 0.016299594540834805)	(60, 5.403820479463699e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0010510625700798678)	(90, 0.0003469456369797211)	(95, 0.0)	(100, 0.0001628079023048389)	(105, 1.0860033177401357e-05)	(110, 0.0018906695349789622)	(115, 0.0003696373368499615)	(120, 0.00032632570634014954)	(125, 2.1766302824776365e-05)	(130, 0.0006206466266766987)	(135, 0.0015251813985390505)	(140, 2.179956736578606e-05)	(145, 0.03327580505417053)	(150, 0.0)
DRR898407_2_paired	(1, 0.0)	(2, 0.0013467853849004887)	(3, 0.0014006568002965082)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0001077428307920391)	(10, 0.0)	(15, 0.00036632562469293293)	(20, 0.0012282682710292457)	(25, 0.000355551341613729)	(30, 5.387141539601955e-05)	(35, 0.00020475719945172488)	(40, 0.0010354146317893)	(45, 0.0)	(50, 1.0801323162087355e-05)	(55, 0.0)	(60, 0.00048662605610019826)	(65, 0.0003137868303234504)	(70, 0.0005737583085345249)	(75, 0.0)	(80, 0.0)	(85, 0.00040114149691695657)	(90, 0.0004555699939908148)	(95, 3.255670401137661e-05)	(100, 0.00020629035758696306)	(105, 0.0017271297872860436)	(110, 0.00036949742264680134)	(115, 0.0008263217396769039)	(120, 7.614348478272456e-05)	(125, 0.0)	(130, 6.53253627680708e-05)	(135, 0.0)	(140, 0.01816644055786992)	(145, 0.0012647429780597622)	(150, 0.0)
DRR898409_1_paired	(1, 0.0)	(2, 0.016283360071350724)	(3, 0.007817863216074637)	(4, 0.001110229095773913)	(5, 0.0)	(6, 0.0013877863697173913)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 9.251909131449274e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.01533401641092049)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.03375931627285607)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898409_2_paired	(1, 0.12157008598724346)	(2, 0.013692825514544926)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001757862734975362)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.70076365257971e-05)	(35, 9.253491249713604e-06)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.857701720166773e-05)	(75, 0.0)	(80, 0.01705961895226049)	(85, 0.0)	(90, 0.0159857003351135)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.016721474390372235)	(115, 0.0)	(120, 5.597261894111559e-05)	(125, 0.0)	(130, 0.016851411350046388)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
