Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898377_2_paired	(1.0, 69.54585392484928)	(2.0, 20.824156947418114)	(3.0, 5.982580505209175)	(4.0, 1.7663340251822388)	(5.0, 0.6137972624642614)	(6.0, 0.3447630922105364)	(7.0, 0.17863870758461292)	(8.0, 0.11912948676400363)	(9.0, 0.11414693452420947)	('>10', 0.3168793699978096)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.19371974379575246)	('>5k', 0.0)	('>10k+', 0.0)
DRR898379_1_paired	(1.0, 57.766357373573605)	(2.0, 25.331748327879517)	(3.0, 10.078203452783164)	(4.0, 3.8769985538481)	(5.0, 1.4833723152879368)	(6.0, 0.6568254833636604)	(7.0, 0.29759251589163893)	(8.0, 0.16033503710536878)	(9.0, 0.09026370035553656)	('>10', 0.2516534109081007)	('>50', 0.002534303151481915)	('>100', 0.004115525851884479)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898379_2_paired	(1.0, 57.9279723346923)	(2.0, 24.905101460244254)	(3.0, 10.063961637130692)	(4.0, 3.9423091206494814)	(5.0, 1.4755549781318316)	(6.0, 0.5587165706947106)	(7.0, 0.2479529156592756)	(8.0, 0.12253525333609358)	(9.0, 0.08215660645124712)	('>10', 0.23794350924384017)	('>50', 0.02558345999879327)	('>100', 0.018894330814026694)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.3913178229534701)
DRR898407_1_paired	(1.0, 71.92736412145577)	(2.0, 19.987139353580517)	(3.0, 5.4247919603709045)	(4.0, 1.4527208899525936)	(5.0, 0.5047888370080282)	(6.0, 0.2100042241312922)	(7.0, 0.1382256146184843)	(8.0, 0.09970178295912543)	(9.0, 0.08006017422370229)	('>10', 0.17520304169957357)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898407_2_paired	(1.0, 71.22725888440206)	(2.0, 20.372040638201348)	(3.0, 5.47312385642279)	(4.0, 1.5548146896254462)	(5.0, 0.4883414919465365)	(6.0, 0.22111517630253164)	(7.0, 0.14036855102508458)	(8.0, 0.08619908340262947)	(9.0, 0.05871158958268174)	('>10', 0.20508578991698306)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.17294024917192888)	('>5k', 0.0)	('>10k+', 0.0)
DRR898409_1_paired	(1.0, 64.57456024625895)	(2.0, 20.560659818153322)	(3.0, 7.5164418649370734)	(4.0, 3.191268847103104)	(5.0, 1.522353529383473)	(6.0, 0.8148050512447389)	(7.0, 0.5186134321535943)	(8.0, 0.3218659707624521)	(9.0, 0.2565746169696822)	('>10', 0.7228566230335716)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898409_2_paired	(1.0, 64.25993465719215)	(2.0, 20.800769268090004)	(3.0, 7.442685808974317)	(4.0, 3.201565940823047)	(5.0, 1.5474684552021385)	(6.0, 0.8109558972279327)	(7.0, 0.4845386596463481)	(8.0, 0.2978873202126424)	(9.0, 0.23694748090556722)	('>10', 0.6877139634350701)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.2295325482907625)	('>5k', 0.0)	('>10k+', 0.0)
DRR898410_1_paired	(1.0, 52.316316512857995)	(2.0, 24.60357845112979)	(3.0, 11.374464496324412)	(4.0, 5.231079868838313)	(5.0, 2.5794456901125162)	(6.0, 1.2859060823075144)	(7.0, 0.7814054550121123)	(8.0, 0.526407319186345)	(9.0, 0.3325277950803966)	('>10', 0.9554938170622491)	('>50', 0.0)	('>100', 0.013374512088338057)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898410_2_paired	(1.0, 53.19727029713719)	(2.0, 24.09023146631176)	(3.0, 10.893790229510444)	(4.0, 5.0661156788092025)	(5.0, 2.4414342493378545)	(6.0, 1.3011161895567385)	(7.0, 0.6592531071775236)	(8.0, 0.41805292995843396)	(9.0, 0.3089569695016979)	('>10', 1.0081065465953065)	('>50', 0.014366373297420156)	('>100', 0.05448796513209926)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5468179976743269)
DRR898411_1_paired	(1.0, 72.39100495850946)	(2.0, 19.517536388247724)	(3.0, 5.346980193737506)	(4.0, 1.5986745443537873)	(5.0, 0.5773980666802124)	(6.0, 0.24508772701272588)	(7.0, 0.1269196868963735)	(8.0, 0.061025083543985545)	(9.0, 0.03278173432321822)	('>10', 0.10259161669503233)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898411_2_paired	(1.0, 74.14840457977145)	(2.0, 18.419178366903893)	(3.0, 4.990550935022442)	(4.0, 1.467763497283118)	(5.0, 0.4800145466985932)	(6.0, 0.21680856796681686)	(7.0, 0.10660499419398353)	(8.0, 0.0680590018413601)	(9.0, 0.020835500940738914)	('>10', 0.08178000937760381)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898421_1_paired	(1.0, 67.68201071832225)	(2.0, 20.51593736402415)	(3.0, 6.737468147220853)	(4.0, 2.47867822441146)	(5.0, 1.083773602474327)	(6.0, 0.5560543073482878)	(7.0, 0.32545785414232353)	(8.0, 0.20379079038189502)	(9.0, 0.13424038363278004)	('>10', 0.282588608041686)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898421_2_paired	(1.0, 67.90037014357442)	(2.0, 20.302171714518874)	(3.0, 6.630914178889244)	(4.0, 2.4330571801873075)	(5.0, 1.0792831509555925)	(6.0, 0.5803953119470078)	(7.0, 0.3157909465600228)	(8.0, 0.18561541089962172)	(9.0, 0.11564795466346219)	('>10', 0.3344140363308971)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.122339971473551)	('>5k', 0.0)	('>10k+', 0.0)
DRR898438_1_paired	(1.0, 60.222804665448784)	(2.0, 23.16635454336214)	(3.0, 9.22357995313011)	(4.0, 3.7000392123773143)	(5.0, 1.580286734526554)	(6.0, 0.6997572868753911)	(7.0, 0.4214362470406323)	(8.0, 0.24577865227620593)	(9.0, 0.16667129853236798)	('>10', 0.5732914064305299)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898438_2_paired	(1.0, 60.06668720905415)	(2.0, 23.08872831136255)	(3.0, 8.954335277471815)	(4.0, 3.67168633924368)	(5.0, 1.4593678352725314)	(6.0, 0.7077530307021767)	(7.0, 0.3610603822964539)	(8.0, 0.2210948947386587)	(9.0, 0.18838892120241765)	('>10', 0.5891924569959223)	('>50', 0.05162185555754072)	('>100', 0.018035446338031228)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.6220480397640632)
